epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3086,1.38322,3.35339,0.91402,0.26321,0.59246,0.31017,0.21691,1.01493,2.06653,0.82631,0.000184589,0.000184589,0.000184589
2,25.6482,1.11158,1.70281,0.86123,0.56292,0.71429,0.65667,0.49743,0.88466,1.29128,0.81463,0.00036626,0.00036626,0.00036626
3,38.2622,1.00728,1.25882,0.85203,0.69562,0.8036,0.79604,0.61873,0.84032,1.07117,0.81056,0.000544262,0.000544262,0.000544262
4,50.8881,0.96785,1.02238,0.84583,0.81398,0.87936,0.90563,0.70525,0.82543,0.86393,0.80868,0.000539487,0.000539487,0.000539487
5,63.6532,0.94036,0.88635,0.84113,0.8781,0.91798,0.93809,0.73623,0.80531,0.72523,0.80591,0.000533982,0.000533982,0.000533982
6,76.2881,0.90623,0.79059,0.83593,0.89169,0.92828,0.96182,0.75645,0.79879,0.65997,0.80626,0.000528478,0.000528478,0.000528478
7,89.2124,0.90777,0.74666,0.83447,0.95543,0.95345,0.98442,0.78219,0.79819,0.56084,0.806,0.000522974,0.000522974,0.000522974
8,102.186,0.92199,0.70334,0.83588,0.95984,0.96563,0.98781,0.78896,0.77854,0.53613,0.80397,0.000517469,0.000517469,0.000517469
9,115.18,0.87831,0.66761,0.83159,0.95495,0.9623,0.98669,0.77308,0.82357,0.55594,0.80778,0.000511965,0.000511965,0.000511965
10,128.223,0.86839,0.63562,0.83097,0.96499,0.95876,0.98774,0.79408,0.76117,0.5151,0.80304,0.00050646,0.00050646,0.00050646
11,141.377,0.84322,0.60694,0.82677,0.98009,0.97404,0.99212,0.79765,0.76932,0.47508,0.80146,0.000500956,0.000500956,0.000500956
12,154.457,0.84928,0.5899,0.82789,0.9773,0.98632,0.99356,0.79502,0.77405,0.46922,0.80448,0.000495452,0.000495452,0.000495452
13,168.223,0.8437,0.56665,0.82668,0.98089,0.98204,0.9924,0.80993,0.71778,0.45116,0.7982,0.000489947,0.000489947,0.000489947
14,181.474,0.83258,0.55539,0.82665,0.97123,0.97419,0.99205,0.80445,0.73187,0.46472,0.79958,0.000484443,0.000484443,0.000484443
